Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
เหล็กกลมดำ 6 หุน เหลือง,0100080050001,code128,ไม่ระบุ,01,004,004,  ,125,162,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กกลมดำ 6 หุน ส้ม,0100080050002,code128,ไม่ระบุ,01,004,004,  ,140,171,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กกลมดำ 6 หุน ขาว,0100080050003,code128,ไม่ระบุ,01,004,004,  ,152,193,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
เหล็กกลมดำ 6 หุน เขียว,0100080050004,code128,ไม่ระบุ,01,004,004,  ,0,0,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกลมดำ 1"" เหลือง",0100080060001,code128,ไม่ระบุ,01,004,004,  ,136,174,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกลมดำ 1"" ส้ม",0100080060002,code128,ไม่ระบุ,01,004,004,  ,158,203,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกลมดำ 1"" ขาว",0100080060003,code128,ไม่ระบุ,01,004,004,  ,224,278,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกลมดำ 1"" เขียว",0100080060004,code128,ไม่ระบุ,01,004,004,  ,264,310,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกลมดำ 1-1/4"" เหลือง",0100080070001,code128,ไม่ระบุ,01,004,004,  ,183,228,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกลมดำ 1-1/4"" ส้ม",0100080070002,code128,ไม่ระบุ,01,004,004,  ,220,268,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกลมดำ 1-1/4"" ขาว",0100080070003,code128,ไม่ระบุ,01,004,004,  ,275,342,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกลมดำ 1-1/4"" เขียว",0100080070004,code128,ไม่ระบุ,01,004,004,  ,349,407,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกลมดำ 1-1/2"" เหลือง",0100080080001,code128,ไม่ระบุ,01,004,004,  ,208,249,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกลมดำ 1-1/2"" ส้ม",0100080080002,code128,ไม่ระบุ,01,004,004,  ,237,289,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
"เหล็กกลมดำ 1-1/2"" ขาว",0100080080003,code128,ไม่ระบุ,01,004,004,  ,283,375,20,VAT 7%,exclusive,no_image.png,"","","","","","","",""
